id,kind,parsed_dt,rrule,text,core
48,date-only,2026-06-03T00:00:00+00:00,,Plan: 03/06/2026 wash car,03/06/2026
49,date-only,2026-05-28T00:00:00+00:00,,Odd jobs: update spreadsheet 05/28/2026,05/28/2026
50,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Task: review PR every 4 weeks,every 4 weeks
51,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Task: email client every Friday with John,every Friday
52,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Task: every second week review PR (low),every second week
53,recurrence-only,,FREQ=WEEKLY,Note: water the plants every weekend (low),every weekend
54,recurrence-only,,FREQ=WEEKLY,buy milk every weekend #work,every weekend
55,recurrence-only,,FREQ=DAILY;INTERVAL=5,Bills: water the plants every 5 days — before lunch,every 5 days
56,recurrence-only,,FREQ=DAILY;INTERVAL=4,Next: wash car every 4 days,every 4 days
57,recurrence-only,,FREQ=DAILY;INTERVAL=5,Follow up: clean garage every 5 days on weekdays #work,every 5 days on weekdays
58,date-only,2025-12-04T00:00:00+00:00,,Chore: 04/12/2025 email client for project X,04/12/2025
59,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Next: email client every year on 25/12,every year on 25/12
60,date-only,2026-08-24T00:00:00+00:00,,Note: mow the lawn 2026-08-24 at Bunnings,2026-08-24
61,date-only,2026-01-23T00:00:00+00:00,,buy milk 01/23/2026 #work,01/23/2026
62,date-only,2025-10-27T00:00:00+00:00,,Task: 10/27/2025 wash car,10/27/2025
63,recurrence-only,,FREQ=YEARLY,Reminder: every year review PR — before lunch,every year
64,recurrence+date,2026-05-27T00:00:00+00:00,FREQ=WEEKLY;BYDAY=WE,buy milk every Wednesday starting 05/27/2026 #work,every Wednesday starting 05/27/2026
65,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Next: every Wednesday review PR at Bunnings,every Wednesday
66,date-only,2026-02-25T00:00:00+00:00,,TODO: water the plants 2026-02-25 (low),2026-02-25
67,recurrence-only,,FREQ=DAILY;INTERVAL=2,Reminder: wash car every second day (evening),every second day
68,date-only,2026-08-02T00:00:00+00:00,,Reminder: 02/08/2026 review PR (evening),02/08/2026
69,recurrence-only,,FREQ=MONTHLY,Note: wash car every month on the 1st #work,every month on the 1st
70,recurrence-only,,FREQ=DAILY;INTERVAL=3,Bills: water the plants every 3 days,every 3 days
71,date-only,2025-08-12T00:00:00+00:00,,Next: backup photos 2025-08-12 — asap,2025-08-12
72,date-only,2026-06-04T00:00:00+00:00,,Groceries: 04/06/2026 book dentist,04/06/2026
73,recurrence-only,,FREQ=DAILY;INTERVAL=3,Next: book dentist every 3 days,every 3 days
74,date-only,2025-03-12T00:00:00+00:00,,Groceries: 2025-03-12 pay electricity bill,2025-03-12
75,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Errands: every week on Monday review PR,every week on Monday
76,recurrence+date,2025-12-19T00:00:00+00:00,FREQ=WEEKLY;BYDAY=TH,Odd jobs: water the plants every Thursday starting 19/12/2025,every Thursday starting 19/12/2025
77,recurrence-only,,FREQ=YEARLY,Next: water the plants every year with John,every year
78,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Note: call plumber each fortnight at Bunnings,each fortnight
79,recurrence+date,2026-08-09T00:00:00+00:00,FREQ=MONTHLY;INTERVAL=3,TODO: mow the lawn every quarter starting 09/08/2026 (evening),every quarter starting 09/08/2026
80,date-only,2026-03-10T00:00:00+00:00,,Groceries: wash car 2026-03-10 with John,2026-03-10
81,date-only,2026-07-11T00:00:00+00:00,,Chore: book dentist 2026-07-11,2026-07-11
82,recurrence-only,,FREQ=DAILY;INTERVAL=5,Groceries: clean garage every 5 days at 9am — before lunch,every 5 days at 9am
83,recurrence-only,,FREQ=MONTHLY,Next: mow the lawn every month on the 1st,every month on the 1st
84,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,buy milk every 3 weeks — before lunch,every 3 weeks
85,date-only,2025-10-11T00:00:00+00:00,,Next: 2025-10-11 email client,2025-10-11
86,recurrence+date,2026-06-30T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=4,Next: buy milk every 4 weeks starting 30/06/2026 — before lunch,every 4 weeks starting 30/06/2026
87,date-only,2025-08-17T00:00:00+00:00,,Task: 08/17/2025 backup photos (evening),08/17/2025
88,date-only,2024-10-30T00:00:00+00:00,,2024-10-30 water the plants with John,2024-10-30
89,recurrence-only,,FREQ=DAILY;INTERVAL=2,Follow up: email client every 2 days at 5:30pm at Bunnings,every 2 days at 5:30pm
90,recurrence-only,,FREQ=MONTHLY,wash car every month on the 1st (evening),every month on the 1st
91,date-only,2024-11-26T00:00:00+00:00,,Plan: call plumber 26/11/2024,26/11/2024
92,recurrence-only,,FREQ=DAILY;INTERVAL=2,TODO: water the plants every second day (low),every second day
93,date-only,2026-04-16T00:00:00+00:00,,Plan: water the plants 04/16/2026 (evening),04/16/2026
94,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Next: water the plants every Wednesday for project X,every Wednesday
95,date-only,2026-01-23T00:00:00+00:00,,Plan: 01/23/2026 update spreadsheet (low),01/23/2026
96,recurrence-only,,FREQ=DAILY;INTERVAL=3,update spreadsheet every 3 days,every 3 days
97,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Errands: backup photos every 4 weeks with John,every 4 weeks
98,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Odd jobs: every Thursday mow the lawn for project X,every Thursday
99,date-only,2025-08-07T00:00:00+00:00,,Follow up: buy milk 07/08/2025 at Bunnings,07/08/2025
100,recurrence-only,,FREQ=DAILY;INTERVAL=5,buy milk every 5 days on weekdays (evening),every 5 days on weekdays
101,date-only,2026-04-13T00:00:00+00:00,,Reminder: update spreadsheet 13/04/2026,13/04/2026
102,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Follow up: every Tuesday pay electricity bill after work,every Tuesday
103,date-only,2026-03-31T00:00:00+00:00,,Next: water the plants 31/03/2026 (evening),31/03/2026
104,recurrence-only,,FREQ=DAILY,Note: wash car every day for project X,every day
105,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Task: wash car every Saturday — before lunch,every Saturday
106,date-only,2025-11-04T00:00:00+00:00,,Note: 04/11/2025 buy milk,04/11/2025
107,date-only,2026-03-16T00:00:00+00:00,,Plan: review PR 2026-03-16 — asap,2026-03-16
108,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Bills: book dentist every 4 weeks,every 4 weeks
109,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",wash car every weekday with John,every weekday
110,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Bills: water the plants every Tuesday on weekends,every Tuesday on weekends
111,date-only,2026-06-18T00:00:00+00:00,,Errands: buy milk 06/18/2026,06/18/2026
112,recurrence+date,2025-11-06T00:00:00+00:00,FREQ=WEEKLY;BYDAY=MO,review PR every week on Monday starting 06/11/2025 after work,every week on Monday starting 06/11/2025
113,recurrence-only,,FREQ=DAILY;INTERVAL=2,TODO: buy milk every 2 days for project X,every 2 days
114,recurrence-only,,FREQ=DAILY,call plumber every day,every day
115,recurrence-only,,FREQ=MONTHLY,Errands: wash car every month on the 1st,every month on the 1st
116,date-only,2026-04-12T00:00:00+00:00,,Plan: clean garage 2026-04-12 with John,2026-04-12
117,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Reminder: every week on Monday at 5:30pm review PR,every week on Monday at 5:30pm
118,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: wash car every second week on weekdays for project X,every second week on weekdays
119,recurrence-only,,FREQ=MONTHLY,Groceries: call plumber every month on the 1st — asap,every month on the 1st
120,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Errands: wash car each fortnight,each fortnight
121,recurrence-only,,FREQ=DAILY,Reminder: backup photos every day — before lunch,every day
122,date-only,2025-06-29T00:00:00+00:00,,Next: 06/29/2025 mow the lawn — before lunch,06/29/2025
123,date-only,2025-04-29T00:00:00+00:00,,Odd jobs: 2025-04-29 buy milk after work,2025-04-29
124,recurrence-only,,FREQ=WEEKLY,Odd jobs: every weekend wash car #work,every weekend
125,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,every quarter at 5:30pm mow the lawn (low),every quarter at 5:30pm
126,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Odd jobs: pay electricity bill every 2 months — before lunch,every 2 months
127,date-only,2026-01-20T00:00:00+00:00,,Note: 01/20/2026 clean garage (evening),01/20/2026
128,date-only,2025-05-01T00:00:00+00:00,,Reminder: 2025-05-01 buy milk after work,2025-05-01
129,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Follow up: every year on 25/12 at 9am review PR (low),every year on 25/12 at 9am
130,date-only,2025-10-13T00:00:00+00:00,,Note: review PR 10/13/2025,10/13/2025
131,date-only,2025-12-21T00:00:00+00:00,,Groceries: backup photos 21/12/2025 — asap,21/12/2025
132,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Groceries: update spreadsheet every Monday,every Monday
133,date-only,2026-01-15T00:00:00+00:00,,Task: water the plants 15/01/2026 #work,15/01/2026
134,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Reminder: every 3 weeks at 5:30pm book dentist with John,every 3 weeks at 5:30pm
135,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",every day on weekdays update spreadsheet,every day on weekdays
136,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Next: email client every Thursday,every Thursday
137,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,email client every 4 weeks at 9am for project X,every 4 weeks at 9am
138,date-only,2026-07-26T00:00:00+00:00,,Bills: 26/07/2026 backup photos #home,26/07/2026
139,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,review PR every Tuesday with John,every Tuesday
140,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Errands: every 4 weeks at 5:30pm water the plants #work,every 4 weeks at 5:30pm
141,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Note: mow the lawn every Wednesday with John,every Wednesday
142,recurrence-only,,FREQ=DAILY;INTERVAL=5,Errands: backup photos every 5 days at 5:30pm after work,every 5 days at 5:30pm
143,date-only,2025-03-24T00:00:00+00:00,,buy milk 03/24/2025 #work,03/24/2025
144,recurrence-only,,FREQ=DAILY,TODO: book dentist every day at 9am #home,every day at 9am
145,date-only,2026-08-01T00:00:00+00:00,,Groceries: backup photos 2026-08-01,2026-08-01
146,recurrence-only,,FREQ=YEARLY,Next: email client every year — before lunch,every year
147,date-only,2024-12-05T00:00:00+00:00,,Reminder: clean garage 05/12/2024 — before lunch,05/12/2024
148,date-only,2026-05-01T00:00:00+00:00,,Reminder: 01/05/2026 call plumber,01/05/2026
149,date-only,2025-05-07T00:00:00+00:00,,2025-05-07 water the plants for project X,2025-05-07
150,date-only,2025-06-27T00:00:00+00:00,,Reminder: book dentist 27/06/2025 (evening),27/06/2025
151,recurrence-only,,FREQ=MONTHLY,Chore: water the plants every month on the 1st with John,every month on the 1st
152,date-only,2025-02-17T00:00:00+00:00,,Groceries: 2025-02-17 wash car with John,2025-02-17
153,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,every Tuesday mow the lawn — before lunch,every Tuesday
154,date-only,2024-11-05T00:00:00+00:00,,Errands: update spreadsheet 05/11/2024,05/11/2024
155,recurrence-only,,FREQ=DAILY;INTERVAL=2,clean garage every 2 days — before lunch,every 2 days
156,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,water the plants every Tuesday with John,every Tuesday
157,recurrence-only,,FREQ=DAILY,Bills: mow the lawn every day on weekends at Bunnings,every day on weekends
158,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,Task: every Thursday pay electricity bill for project X,every Thursday
159,recurrence-only,,FREQ=DAILY,Next: mow the lawn every day — before lunch,every day
160,recurrence-only,,FREQ=MONTHLY,Groceries: clean garage every month on the 1st,every month on the 1st
161,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,TODO: wash car every Tuesday,every Tuesday
162,date-only,2025-05-30T00:00:00+00:00,,Reminder: pay electricity bill 2025-05-30 for project X,2025-05-30
163,date-only,2024-12-22T00:00:00+00:00,,TODO: review PR 12/22/2024,12/22/2024
164,date-only,2025-02-08T00:00:00+00:00,,Reminder: book dentist 08/02/2025 at Bunnings,08/02/2025
165,date-only,2025-01-14T00:00:00+00:00,,Next: call plumber 2025-01-14 #work,2025-01-14
166,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,backup photos every Saturday at Bunnings,every Saturday
167,date-only,2024-11-14T00:00:00+00:00,,Chore: buy milk 11/14/2024 (evening),11/14/2024
168,date-only,2026-09-09T00:00:00+00:00,,Plan: 2026-09-09 wash car — before lunch,2026-09-09
169,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,Odd jobs: mow the lawn every Wednesday at 9am — asap,every Wednesday at 9am
170,date-only,2026-06-18T00:00:00+00:00,,Task: wash car 2026-06-18 at Bunnings,2026-06-18
171,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,every 4 weeks buy milk (low),every 4 weeks
172,date-only,2024-11-03T00:00:00+00:00,,Chore: pay electricity bill 2024-11-03 for project X,2024-11-03
173,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: call plumber every second week,every second week
174,date-only,2026-03-07T00:00:00+00:00,,Bills: 07/03/2026 water the plants (evening),07/03/2026
175,date-only,2026-09-07T00:00:00+00:00,,call plumber 07/09/2026 — before lunch,07/09/2026
176,recurrence+date,2025-12-25T00:00:00+00:00,FREQ=YEARLY,Task: review PR every year on 25/12 at Bunnings,every year on 25/12
177,date-only,2025-12-11T00:00:00+00:00,,Task: 2025-12-11 water the plants (evening),2025-12-11
178,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,TODO: each fortnight backup photos,each fortnight
179,date-only,2025-12-12T00:00:00+00:00,,Next: 12/12/2025 update spreadsheet at Bunnings,12/12/2025
180,recurrence-only,,FREQ=MONTHLY;INTERVAL=2,Follow up: every 2 months email client,every 2 months
181,date-only,2026-06-25T00:00:00+00:00,,Bills: backup photos 06/25/2026,06/25/2026
182,recurrence-only,,FREQ=MONTHLY,call plumber every month with John,every month
183,date-only,2025-06-18T00:00:00+00:00,,Bills: backup photos 06/18/2025 at Bunnings,06/18/2025
184,date-only,2026-02-17T00:00:00+00:00,,Follow up: 17/02/2026 backup photos,17/02/2026
185,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Odd jobs: mow the lawn every month on weekdays #home,every month on weekdays
186,recurrence-only,,FREQ=DAILY;INTERVAL=3,Task: every 3 days mow the lawn — asap,every 3 days
187,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Chore: mow the lawn every Sunday with John,every Sunday
188,recurrence-only,,FREQ=YEARLY,Plan: every year update spreadsheet,every year
189,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,every Saturday book dentist,every Saturday
190,recurrence-only,,FREQ=DAILY;INTERVAL=2,water the plants every second day (low),every second day
191,date-only,2026-05-17T00:00:00+00:00,,TODO: call plumber 2026-05-17 at Bunnings,2026-05-17
192,date-only,2024-12-20T00:00:00+00:00,,Reminder: update spreadsheet 2024-12-20 — before lunch,2024-12-20
193,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,TODO: every week on Monday buy milk #work,every week on Monday
194,recurrence-only,,FREQ=WEEKLY;BYDAY=TU,Note: backup photos every Tuesday — asap,every Tuesday
195,recurrence-only,,FREQ=DAILY;INTERVAL=5,Bills: email client every 5 days on weekdays — asap,every 5 days on weekdays
196,recurrence-only,,FREQ=DAILY;INTERVAL=5,Errands: every 5 days at 9am email client for project X,every 5 days at 9am
197,date-only,2025-06-24T00:00:00+00:00,,clean garage 06/24/2025,06/24/2025
198,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,TODO: clean garage every Monday with John,every Monday
199,recurrence-only,,FREQ=WEEKLY;BYDAY=SA,Follow up: email client every Saturday at Bunnings,every Saturday
200,recurrence-only,,FREQ=WEEKLY,Chore: every weekend update spreadsheet at Bunnings,every weekend
201,recurrence-only,,FREQ=WEEKLY;BYDAY=FR,Reminder: update spreadsheet every Friday after work,every Friday
202,recurrence-only,,FREQ=DAILY;INTERVAL=2,Next: call plumber every second day,every second day
203,recurrence-only,,FREQ=WEEKLY;BYDAY=SU,Note: clean garage every Sunday (low),every Sunday
204,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: update spreadsheet every second week,every second week
205,recurrence-only,,FREQ=WEEKLY,Plan: every weekend review PR,every weekend
206,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,clean garage every quarter (evening),every quarter
207,recurrence-only,,FREQ=WEEKLY;BYDAY=TH,every Thursday email client,every Thursday
208,recurrence+date,2025-09-02T00:00:00+00:00,FREQ=WEEKLY;INTERVAL=2,Plan: wash car every 2 weeks starting 02/09/2025 for project X,every 2 weeks starting 02/09/2025
209,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,call plumber every 3 weeks,every 3 weeks
210,date-only,2026-07-21T00:00:00+00:00,,2026-07-21 wash car,2026-07-21
211,recurrence+date,2025-12-25T00:00:00+00:00,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Chore: book dentist every year on 25/12 on weekdays,every year on 25/12 on weekdays
212,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Reminder: update spreadsheet every 2 weeks,every 2 weeks
213,date-only,2025-03-04T00:00:00+00:00,,mow the lawn 04/03/2025 for project X,04/03/2025
214,recurrence-only,,FREQ=DAILY;INTERVAL=2,Bills: water the plants every second day at 5:30pm — before lunch,every second day at 5:30pm
215,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Task: mow the lawn every weekday for project X,every weekday
216,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,every Monday backup photos at Bunnings,every Monday
217,recurrence-only,,FREQ=DAILY;INTERVAL=2,Plan: wash car every second day,every second day
218,recurrence-only,,FREQ=DAILY;INTERVAL=2,Chore: mow the lawn every second day after work,every second day
219,recurrence-only,,FREQ=YEARLY,Reminder: every year at 9am clean garage #home,every year at 9am
220,recurrence-only,,FREQ=DAILY;INTERVAL=4,Odd jobs: water the plants every 4 days with John,every 4 days
221,recurrence-only,,FREQ=WEEKLY;BYDAY=WE,TODO: pay electricity bill every Wednesday,every Wednesday
222,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Next: email client every week on Monday for project X,every week on Monday
223,date-only,2026-07-31T00:00:00+00:00,,Follow up: review PR 07/31/2026 at Bunnings,07/31/2026
224,recurrence+date,2024-10-26T00:00:00+00:00,FREQ=DAILY;INTERVAL=2,water the plants every 2 days starting 2024-10-26,every 2 days starting 2024-10-26
225,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Bills: call plumber every weekday at Bunnings,every weekday
226,date-only,2025-09-28T00:00:00+00:00,,Next: update spreadsheet 09/28/2025,09/28/2025
227,date-only,2025-06-12T00:00:00+00:00,,Next: 12/06/2025 backup photos after work,12/06/2025
228,recurrence-only,,FREQ=WEEKLY,Note: every weekend wash car #home,every weekend
229,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Next: clean garage every second week on weekdays,every second week on weekdays
230,recurrence-only,,FREQ=DAILY;INTERVAL=2,TODO: review PR every second day at 9am,every second day at 9am
231,date-only,2026-02-01T00:00:00+00:00,,Plan: book dentist 01/02/2026 — before lunch,01/02/2026
232,date-only,2026-07-09T00:00:00+00:00,,Reminder: pay electricity bill 09/07/2026 #home,09/07/2026
233,recurrence-only,,FREQ=MONTHLY,Note: water the plants every month on the 1st,every month on the 1st
234,recurrence-only,,"FREQ=WEEKLY;BYDAY=MO,TU,WE,TH,FR",Odd jobs: pay electricity bill every month on the 1st on weekdays after work,every month on the 1st on weekdays
235,recurrence-only,,FREQ=DAILY;INTERVAL=2,Odd jobs: email client every second day on weekends,every second day on weekends
236,date-only,2024-11-02T00:00:00+00:00,,Next: pay electricity bill 02/11/2024 after work,02/11/2024
237,date-only,2025-11-14T00:00:00+00:00,,Follow up: 2025-11-14 book dentist with John,2025-11-14
238,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Chore: every 4 weeks clean garage for project X,every 4 weeks
239,date-only,2026-01-13T00:00:00+00:00,,Groceries: 13/01/2026 review PR,13/01/2026
240,date-only,2026-01-30T00:00:00+00:00,,Note: water the plants 01/30/2026,01/30/2026
241,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: every second week on weekends buy milk (low),every second week on weekends
242,date-only,2025-06-17T00:00:00+00:00,,review PR 06/17/2025 — asap,06/17/2025
243,recurrence-only,,FREQ=DAILY;INTERVAL=3,Chore: every 3 days on weekdays book dentist,every 3 days on weekdays
244,date-only,2026-04-20T00:00:00+00:00,,Odd jobs: 2026-04-20 pay electricity bill #home,2026-04-20
245,recurrence-only,,FREQ=YEARLY,Errands: every year update spreadsheet — before lunch,every year
246,recurrence-only,,FREQ=WEEKLY,TODO: clean garage every weekend (low),every weekend
247,date-only,2025-07-28T00:00:00+00:00,,Follow up: review PR 28/07/2025,28/07/2025
248,date-only,2026-07-18T00:00:00+00:00,,Task: 07/18/2026 review PR for project X,07/18/2026
249,recurrence-only,,FREQ=WEEKLY;INTERVAL=3,Chore: every 3 weeks mow the lawn #work,every 3 weeks
250,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,TODO: mow the lawn every quarter — asap,every quarter
251,recurrence-only,,FREQ=MONTHLY;INTERVAL=3,Reminder: every quarter email client,every quarter
252,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Plan: every 2 weeks buy milk — before lunch,every 2 weeks
253,date-only,2026-06-04T00:00:00+00:00,,04/06/2026 clean garage for project X,04/06/2026
254,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Bills: pay electricity bill every second week — asap,every second week
255,recurrence-only,,FREQ=WEEKLY;INTERVAL=4,Odd jobs: email client every 4 weeks — before lunch,every 4 weeks
256,recurrence-only,,FREQ=WEEKLY;BYDAY=MO,Follow up: every Monday at 5:30pm wash car,every Monday at 5:30pm
257,recurrence-only,,FREQ=DAILY,Chore: mow the lawn every day #home,every day
258,recurrence-only,,FREQ=WEEKLY;INTERVAL=2,Groceries: every second week book dentist #work,every second week
259,date-only,2025-09-04T00:00:00+00:00,,Reminder: 04/09/2025 update spreadsheet — before lunch,04/09/2025
260,date-only,2026-01-15T00:00:00+00:00,,Groceries: email client 15/01/2026 at Bunnings,15/01/2026
